Article number|EAN (European article number)|Manufacturers code / number|Manufacturer|Product Name|Description|Product Group|Price EUR|Delivery status|Product URL|Picture URL|Shipping
391397101||Q3722A|HP|HP LaserJet 9050N - Q3722A bis A3|Hohe Leistungsfähigkeit gepaart mit exzellenter Usability: Der vom Fachmann aufgearbeitete HP Laserjet 9050N ist auch für anspruchsvolle Anwender die richtige Wahl. Bis zu 50 Seiten pro Minute produziert das Gerät in s/w bei gleichbleibend erstklassiger Druckqualität und kann auch in A3 mit bis zu 28 Seiten pro Minute überzeugen. Innerhalb von nur 8 Sekunden ist der monochrome Laserdrucker von 0 auf 100 und erledigt auch große Aufträge zuverlässig und sicher. Mit einer empfohlenen Auslastung von bis zu 30.000 Seiten pro Monat ist der 9050N für Abteilungen mit einem hohen Arbeitsaufkommen konzipiert. Ob in Vertrieb oder Buchhaltung, diesem leistungsstarken Bürohelfer aus dem hause Hewlett Packard macht so schnell keiner etwas vor. |Kopiererhaus > Drucker|749.00|4-7 Tage|http://www.kopiererhaus.de/hp-laserjet-9050n-q3722a-bis-a3|https://www.kopiererhaus.de/media/catalog/product/3/9/391397101_442950.jpg|75.00
396493036||Q3714A|HP|HP Color LaserJet 5550N - Q3714A Farblaserdrucker bis A3|Brillante Druckqualität für anspruchsvolle Nutzer: Der von unseren Profis aufbereitete & gebrauchte HP Color LaserJet 5550N erfüllt dank seines bewährt praktischen und nutzerfreundlichen Designs, seiner hohen Leistung und flexiblen Funktionen die Anforderungen dynamischer Arbeitsgruppen spielend. Mit dem HP Color LaserJet 5550N erzielen Sie ein professionelles Erscheinungsbild für Ihr Unternehmen mit HP ImageREt 3600-Druckqualität und er eignet sich bestens für anspruchsvolle Arbeitsgruppen, Marketing- und Vertriebsabteilungen in Unternehmen oder Design- und Werbeagenturen. Mit dem HP Color LaserJet 5550N erhalten Sie eine kostengünstige Drucklösung für die Erstellung hochwertiger Farb- und Schwarzweißdokumente in Formaten bis DIN A3 für die unternehmensinterne Verwendung und die Kommunikation mit Ihren Kunden.|Kopiererhaus > Drucker|499.00|4-7 Tage|http://www.kopiererhaus.de/hp-color-laserjet-5550n-q3714a-farblaserdrucker-bis-a3|https://www.kopiererhaus.de/media/catalog/product/3/9/396493036_155136.jpg|75.00
406861921||Q3715A|HP|HP Color LaserJet 5550DN - Q3715A bis A3|Brillante Druckqualität und überzeugende Leistung: Der vom Fachmann runderneuerte & gebrauchte HP Color LaserJet 5550DN liefert Ihnen ein professionelles Erscheinungsbild für Ihr Unternehmen mit HP ImageREt 3600-Druckqualität. Die Technologien „adaptive Halftoning” und „Trapping” ermöglichen beim Color LaserJet 5550DN präzise Farbübergänge, gestochen scharfe Bilder und detailgenaue Texte und Linien. Zudem überzeugt der HP Color LaserJet 5550DN durch Ausdrucke mit bis zu 28 S./Min. (DIN A4) in Farbe und Schwarzweiß mit der vertikalen In-Line-Drucktechnologie, einem 533 MHz Prozessor, 160 MB RAM und Auto Duplex.|Kopiererhaus > Drucker|599.00|4-7 Tage|http://www.kopiererhaus.de/hp-color-laserjet-5550dn-q3715a-bis-a3|https://www.kopiererhaus.de/media/catalog/product/7/0/704931.jpg|75.00
416761721||C9656A|HP|HP Color LaserJet 5500 - C9656A bis A3|Beeindruckende Profi Qualtität in Farbe: Der professionelle runderneuerte & gebrauchte HP Color LaserJet 5500 ist ein schneller, leistungsfähiger und kostengünstiger Farblaserdrucker und eine solide Investition, welche Ihnen viele Geschäftsvorteile ermöglichen wird. Der HP Color LaserJet 5500 ist sehr bedienerfreundlich und äußerst flexibel, so dass die Anforderungen von Arbeitsgruppen spielend erfüllt und beeindruckende Farbdokumente erstellt werden können. Somit ist der HP Color LaserJet 5500 ideal für anspruchsvolle Arbeitsgruppen, Marketing- und Vertriebsabteilungen in Unternehmen oder Design und Werbeagenturen, die eine kostengünstige Drucklösung für die Erstellung hochwertiger Farb und Schwarzweißdokumente in Formaten bis DIN A3 für die unternehmensinterne Verwendung und die Kommunikation mit Kunden benötigen. Mit dem HP Color LaserJet 5500 erstellen Sie hochwertige Farbdokumente in unterschiedlichsten Formaten bis DIN A3 in professioneller Qualität und ohne Einbußen bei der Geschwindigkeit.|Kopiererhaus > Drucker|480.00|4-7 Tage|http://www.kopiererhaus.de/hp-color-laserjet-5500-c9656a-bis-a3|https://www.kopiererhaus.de/media/catalog/product/4/1/416761721_353798.jpg|75.00
416762886||C7131A|HP|HP Color LaserJet 5500N - C7131A bis A3|Beeindruckendes Farbenspiel und kostengünstige Schwarzweißdokumente: Der HP Color LaserJet 5500N wurde von Experten aufbereitet und ist der perfekte Begleiter für anspruchsvolle Arbeitsgruppen mit hoher Auslastung. Das grafische Bedienfeld erleichtert mit seiner einfachen Handhabung den Überblick über Tonerstände und aktuelle Arbeitsaufträge. Dank leistungsfähiger Verbrauchsmaterialien ist das Gerät kostengünstig und bleibt wartungsarm und immer einsatzbereit. Produzieren Sie mit dem langlebigen 5500N aus dem Hause Hewlett Packard gestochen scharfe Geschäftsunterlagen bis zur Formatgröße A3. |Kopiererhaus > Drucker|499.00|4-7 Tage|http://www.kopiererhaus.de/hp-color-laserjet-5500n-c7131a-bis-a3|https://www.kopiererhaus.de/media/catalog/product/4/2/423741.jpg|75.00
416762981||C9657A|HP|HP Color LaserJet 5500DN - C9657A bis A3|Professionelle A3 Farbdruckqualität: Der tip top runderneuerte & gebrauchte HP Color LaserJet 5500DN liefert Ihnen eine hervorragende Druckqualität dank HP ImageREt 2400 und 600 x 600 dpi. Zudem ermöglichen die Offsetdruck- Technologien “adaptive Halftoning” und “Colour Trapping” beim Color LaserJet 5500DN präzise Farbübergänge, gestochen scharfe Bilder und Schwarzweißdokumente. Dank dem hochleistungsfähigen, vertikalen Inline-Laserdruckwerk, dem 400 MHz Prozessor und 96 MB RAM kann der HP Color LaserJet 5500DN Farbdruck so schnell wie S/W-Druck bei bis zu 22 Seiten/Min. (DIN A4) drucken. Die Ausführung aller Bedien- und Wartungsaufgaben über einen einzigen Zugangspunkt an der Vorderseite des Color LaserJet 5500DN und die klare Kennzeichnung des Zubehörs gewährleisten den einfachen Austausch der Verbrauchsmaterialien. Erzielen Sie mit dem wartungsarmen HP Color LaserJet 5500DN professionelle A3 Farbdruckqualität.|Kopiererhaus > Drucker|499.00|4-7 Tage|http://www.kopiererhaus.de/hp-color-laserjet-5500dn-c9657a-bis-a3|https://www.kopiererhaus.de/media/catalog/product/9/9/996520.jpg|75.00
416763016||C9658A|HP|HP Color LaserJet 5500DTN - C9658A bis A3|Erstellen Sie beeindruckende Farbdokumente mit dem bedienerfreundlichen Farblaserdrucker aus dem Haus Hewlett Packard: Der LaserJet 5500DTN wurde vom Experten für Sie aufbereitet und besticht mit professioneller Druckqualität bis DIN A3. Bis zu 22 Seiten pro Minute fertigt das Gerät in A4 und spart durch die integrierte Duplexeinheit im Arbeitsalltag nicht nur bares Geld, sondern auch eine Menge Zeit. Verständliche Meldungen auf dem grafischen Bedienfeld machen die Verwaltung Ihrer Druckaufträge und die Überprüfung der Tonerstände zu einem Kinderspiel für alle Anwender.  |Kopiererhaus > Drucker|599.00|4-7 Tage|http://www.kopiererhaus.de/hp-color-laserjet-5500dtn-c9658a-bis-a3|https://www.kopiererhaus.de/media/catalog/product/4/1/416763016_158287.jpg|75.00
417913841||24A0063|Lexmark|Lexmark C772N - 24A0065|Leistung und Vielseitigkeit in einem: Der vom Fachmann aufbereitete & gebrauchte Lexmark C772N eignet sich ideal für die wachsenden Bedürfnisse Ihrer erfolgreichen Arbeitsgruppe und bietet höchste Flexibilität und Geschwindigkeit für umfangreiche Druckvolumen. Der Lexmark C772N ist außerdem mit einem 800 MHz Prozessor und einem Arbeitsspeicher von 256 MB ausgestattet, um eine einfache Abwicklung Ihrer komplexen Jobs zu gewährleisten. Konzipiert für dauerhaft hohe Leistung, überzeugt der C772N selbst bei großen Druckvolumen und erreicht Geschwindigkeiten von 24 Seiten/Minute in Farbe und in Schwarz/Weiß. Zudem senkt der Lexmark C772N Ihre gesamten Kosten pro Seite mit der optionalen Druckkassette für 15.000 Seiten (bei ca. 5 % Seitendeckung) und den branchenführenden Tools zur Kostenkontrolle von Lexmark.|Kopiererhaus > Drucker|299.00|4-7 Tage|http://www.kopiererhaus.de/lexmark-c772n-24a0065|https://www.kopiererhaus.de/media/catalog/product/4/1/417913841_321155.jpg|75.00
417917781||12N1200 / 12N1210|Lexmark|Lexmark C912 - 12N1200 bis A3|Vielseitig und Kostensparend: Der fachmännisch aufbereitete & gebrauchte Lexmark C912 ist die ideale Lösung  für Firmen, die sich durch interne Farbdruckfähigkeiten einen Wettbewerbsvorteil sichern wollen. Der Lexmark C912 ist der Produktionsdrucker für qualitativ hochwertige A3+-Farbausgabe. Die Vielseitigkeit des Lexmark C912 eröffnet neue Möglichkeiten für die verschiedensten Anwendungsbereiche, wie ID-Karten, Broschüren, Faltblätter, Newsletter, Layout-Sätze usw. Darüber hinaus bietet der Lexmark C912 effiziente, kostensparende Funktionen, einschließlich Ausdrucken in Draft-Qualität zum schnellen Proofing und zur kundenseitigen Überprüfung. Der C912 ist in jeder Hinsicht auf Leistung ausgelegt und erledigt hochvolumige Farbdruckprojekte schnell und zuverlässig. Eine große Auswahl von Papierhandhabungs- und fortschrittlichen Finishing-Optionen lässt beim Lexmark C912 keine Wünsche offen.|Kopiererhaus > Drucker|349.00|4-7 Tage|http://www.kopiererhaus.de/lexmark-c912-12n1200-bis-a3|https://www.kopiererhaus.de/media/catalog/product/4/1/417917781_593952.jpg|75.00
417918496||12N1300|Lexmark|Lexmark C912N - 12N1300 bis A3|A3 Teameffizienz kombiniert mit Leistungsstärke: Der vom Fachmann aufbereitete & gebrauchte Lexmark C912N mit einer Druckgeschwindigkeit von bis zu 29 Seiten pro Minunte, einem laststarken 600 MHz Prozessor und einem monatlichen Druckvolumen von bis zu 100.000 Seiten. Der Lexmark C912N druckt mit 2400 IQ messerscharf in Farbe und Schwarzweiß auf Transparentfolien, Etiketten, Normalpapier, Hochglanzpapier und Karten. Die Standard Papierkapazität von 650 Blatt (erweiterbar bis 5300 Blatt) und seine Netzwerkanbindung machen den Lexmark C912N auch mit hochvolumigen Farbdruckprojekten zum Teamplayer. Für Firmen, die sich durch interne Farbdruckfähigkeiten einen Wettbewerbsvorteil sichern wollen, ist der Lexmark C912N die ideale Lösung.|Kopiererhaus > Drucker|399.00|4-7 Tage|http://www.kopiererhaus.de/lexmark-c912n-12n1300-bis-a3|https://www.kopiererhaus.de/media/catalog/product/2/4/242937.jpg|75.00
